City,Library,Address,Zip,Phone
Burns,Burns Public Library,104 North Washington Ave,66840,(620) 726-5717
Burr Oak,Burr Oak Community Library,221 A Main Street,66936,(785) 647-5597
Burrton,Burrton Public Library,121 N. Burrton Ave,67020,(316) 463-7902
Burrton Ks,Ruth Dole Memorial Library,121 N Burrton,67020,(620) 463-7902
Bushton,Farmer Township Community Library,,67427,(620) 562-3352
Caldwell,Caldwell Public Library,8 N. Osage,67022,(620) 845-6879
Caney,Caney City Library,100 N. Ridgeway,67333,(620) 879-5341
Canton,Canton Township,200 N Main,67428,(620) 628-4349
Carbondale,Carbondale City Library,234 Main Street,66414,(785) 836-7638
Cawker City,Cawker City Public Library,802 Locust,67430,(785) 781-4925
Cedar Vale,Cedar Vale Memorial Library,608 Cedar,67024,(620) 758-2598
Centralia,Centralia Community Library,520 4th Street,66415,(785) 857-3331
Chanute,Chanute Public Library,111 N. Lincoln Ave.,66720,(620) 431-3820
Chapman,Chapman Public Library,402 N. Marshall,67431,(785) 922-6548
Cheney,Cheney Public Library,203 N. Main,67025,(316) 542-3331
Cherryvale,Cherryvale Public Library,329 East Main,67335,(620) 336-3460
Chetopa,Chetopa City Library,312 Maple,67336,(620) 236-7194
Cimarron,Cimarron City Library,120 North Main,67835,(620) 855-3808
Cimarron,Cimarron City Library,111 Main,,(316) 855-3808
Cimarron,Cimarron City Library,120 N. Main,,(316) 855-3808
City Of Goddard,Goddard Public Library,201 N. Main,67052,(316) 794-8771
City Of Lansing,Lansing Community Library,108 S 2nd Street,66043,(913) 727-2929
Claflin,Independent Township,108 Main,67525,(620) 587-3488
Clay Center,Clay Center Carnegie Library,706 6 St,67432,(785) 632-3889
Clearwater,Clearwater Public Library,109 E. Ross,67026,(620) 584-6474
Clifton,Clifton Public Library,104 E. Parallel,66937,(785) 455-2222
Clyde .,Randolph-Decker Pub. Lib.,107 S Green St.,66938,(785) 446-3563
Coffeyville,Coffeyville Public Library,311 W Tenth Street,67337,(620) 251-1370
Colby,Colby-Pioneer Memorial Library,375 West 4th Street,67701,(785) 460-4470
Colby,"Pioneer Memorial Library, Colby",375 W. 4th St.,,(913) 462-7563
Coldwater,Coldwater-Wilmore Regional Library,221 E.Main,67029,(620) 582-2333
Colony,Colony City Library,339 Cherry Street,66015,(620) 852-3530
Columbus,Columbus Public Library,205 N. Kansas,66725,(620) 429-2086
Colwich,Colwich Community Library,432 W Colwich,67030,(316) 796-1521
Concordia,Frank Carlson Library,702 Broadway,66901,(785) 243-2250
Conway Springs,Conway Springs City Library,210 W. Springs Ave,67031,(620) 456-2859
Copeland,Copeland Public Library,109 Santa Fe,67837,(620) 668-5559
Corning,Corning City Library,6621 5th St.,66417,(785) 868-2755
Cottonwood Falls,Burnley Memorial Library,401 Oak Street,,(620) 273-8588
Cottonwood Falls,Cottonwood Falls-Burnley Memorial,405 N. Oak,66845,(620) 273-8588
Council Grove,Council Grove Public Library,829 W. Main St.,66846,(620) 767-5716
Courtland,Courtland Community Library,403 Main St.,66939,(785) 374-4260
Cuba,Hillcrest Library,804 Bristol Street,66940,(785) 729-3355
Cunningham,Cunningham Public Library,105 North Main,67035,(620) 298-3163
Delphos,Delphos Public Library,114 W. 2nd,67436,(785) 523-4668
Derby,Derby Public Library,"611 N Mulberry Rd, Suite 200",67037,(316) 788-0760
Desoto,"Johnson County Library, Desoto",33145 West 83rd Street,,(913) 583-3106
Dighton,Dighton-Lane County Library,144 South Lane,67839,(620) 397-2808
Dighton,"Lane County Library, Dighton",144 S. Lane,,(316) 397-5829
Dodge City,Dodge City Public Library,1001 N. Second Ave,67801,(620) 225-0248
Dodge City,Southwest Kansas Library System,100 Military Avenue Suite 210,67801,(620) 225-1231
Douglass,Douglass Public Library,319 S. Forest,67039,(316) 746-2600
Downs,Downs Carnegie Library,504 Morgan Ave,67437,(785) 454-3821
Dwight,Dwight Public Library,637 Main,66849,(785) 482-3804
Edgerton,Edgerton Library,319 E. Nelson,,(913) 893-6720
Edna,Edna Public Library,105 N Delaware,67342,(620) 922-3470
Effingham,Effingham Community Library,414 Main Street,66023,(913) 833-5881
El Dorado,Bradford Memorial Library,611 S. Washington,67042,(316) 321-3363
Elkhart,Elkhart-Morton County Library,410 Kansas,67950,(620) 697-2025
Elkhart,"Morton County Library, Rolla Extension",410 Kansas,,(620) 593-4320
Ellinwood,Ellinwood School Community Library,210 N. Schiller,67526,(620) 564-2306
Ellis,Ellis Public Library,907 Washington,67637,(785) 726-3464
Ellsworth,J.H. Robbins Memorial Library,219 N. Lincoln Ave.,67439,(785) 472-3969
Elwood,Elwood Branch Library,410 N 9th,,(913) 365-2409
Emporia,Emporia Public Library,110 E. Sixth Avenue,66801,(620) 340-6462
Enterprise,Enterprise Public Library,123 S. S Factory,67441,(785) 263-8351
Erie,Erie City Public Library,204 S. Butler,66733,(620) 244-5119
Eskridge,Eskridge Branch,115 S. Main,,(785) 449-2296
Eudora,Eudora Public Library,14 E 9th St.,66025,(785) 542-2496
Eureka,Eureka Public Library,606 North Main,67045,(620) 583-6222
Everest,Barnes Reading Room,640 Main Street,66424,(785) 548-7733
Fall River,Fall River Public Library,314 Merchant Ave.,67047,(620) 658-4973
Florence,Florence Public Library,324 Main St.,66851,(620) 878-4649
Ford,Ford City Library,701 E 8th St,67842,(620) 369-2820
Formoso,Formoso Public Library,204 Main,66942,(785) 794-2424
Fort Leavenworth,Combined Arms Research Library,250 Gibbon Ave,,(913) 758-3053
Fort Scott,Fort Scott Public Library,201 S. National,66701,(620) 223-2882
Fowler,Fowler Public Library,510 Main,67844,(620) 646-5550
Frankfort,Frankfort City Library,104 E. Second St,66427,(785) 292-4320
Fredonia,Fredonia Public Library,807 Jefferson St.,66736,(620) 378-2863
Galena,Galena Public Library,315 W. 7th Street,66739,(620) 793-5132
Garden City,Finney County Public Library,605 E Walnut,67846,(620) 272-3680
Garden Plain,Garden Plain Community Library,421 Ave B,67050,(316) 535-2990
Gardner,"Johnson County Library, Gardner",116 East Main,,(913) 856-7223
Garnett,Garnett Public Library,125 W. 4th,66032,(785) 448-3388
Gaylord,Gaylord City Library,505 Main,67638,(785) 697-2650
Geneseo,Geneseo Public Library,725 Main Street,67444,(620) 824-6140
Girard,Girard Public Library,128 West Prairie Ave.,66743,(620) 724-4317
Glasco,Glasco City Library,,67445,(785) 568-2313
Glen Elder,Glen Elder Library,105 S. Mill St.,67446,(785) 545-3632
Goessel,Goessel Public Library,101 S. Cedar,67053,(620) 367-8440
Goodland,Goodland Public Library,812 Broadway,67735,(785) 899-5461
Gove,Gove City Library,519 Broad Street,67736,(785) 938-2242
Grainfield,Grainfield City Library,242 Main St.,67737,(785) 673-4770
Great Bend,Central Kansas Library System,1409 Williams Street,67530,(620) 792-4865
Great Bend,Great Bend Public Library,1409 Williams,67530,(620) 792-2409
Grenola,Grenola Public,205 South Main,67346,(620) 358-3707
Gridley,Gridley Library,512 Main,,(316) 836-3905
Grinnell,Grinnell-Moore Family Library,95 S. Adams,67738,(785) 824-3885
Gypsum,Gypsum Community Library,521 Maple St.,67448,(785) 536-4319
Halstead,Halstead Public Library,264 Main,67056,(316) 835-2170
Hamilton,Hamilton City Library,21 E. Main,66853,(620) 678-3646
Hanover,Hanover Public,205 Jackson Street,66945,(785) 337-2424
Hanston,Hanston City Library,105 N Logan,67849,(620) 623-2798
Hardtner,Hardtner Public Library,102 E Central,67057,(620) 296-4586
Harper,Harper Public Library,1002 Oak,67058,(620) 896-2959
Hartford,Hartford-Elmendaro Township,224 Commercial St.,66854,(620) 392-5518
Harveyville,Harveyville Mini Library,128 W. Oak Street,,(785) 589-2414
Havana,Havana Study Club Library,po box 33,,(316) 673-4942
Haven,Haven Public Library,121 North Kansas Avenue,67543,(620) 465-3524
Haviland,Kiowa County Library,112 N. Main,67059,(620) 862-5350
Hays,Hays Public Library,1205 Main St.,67601,(785) 625-9014
Haysville,Haysville Community Library,130 West Grand Avenue,67060,(316) 524-5242
Healy,Healy Extension Of Lane County Library,box 63,,(316) 398-2304
Hepler,Hepler City Library,105 S. Prairie,66746,(620) 368-4379
Herington,Herington Public Library,102 S. Broadway,67449,(785) 258-2011
Hesston,Hesston Public Library,110 E. Smith,67062,(620) 327-4666
Hiawatha,Hiawatha-Morrill Public Library,431 Oregon,66434,(785) 742-3831
Highland,Highland Branch Library,306 W. Main,,(785) 442-3078
Hill City,Graham County Public Library,414 N West,67642,(785) 421-2722
Hillsboro,Hillsboro Public Library,120 E. Grand Ave.,67063,(620) 947-3827
Hoisington,Hoisington Public Library,169 South Walnut,67544,(620) 653-4128
Holton,Beck-Bookman Library,420 West 4th,66436,(785) 364-3532
Hope,Hope Community Library,216 N. Main,67451,(785) 366-7219
Horton,Horton Public Library,809 1st Ave. East,66439,(785) 486-3326
Howard,Howard City Library,124 S. Wabash,67349,(630) 374-2890
Hoxie,Sheridan County Public Library,801 Royal Avenue,67740,(785) 675-3102
Hugoton,Stevens County Library,500 Monroe,67951,(620) 544-2301
Humboldt,Humboldt Public Library,916 Bridge,66748,(620) 473-2243
Hutchinson,Hutchinson Public Library,901 N. Main,67501,(620) 663-5441
Independence,Independence Public Library,220 East Maple,67301,(620) 331-3030
Inman,Inman Public Library,100 N. Main,67546,(620) 585-2474
Iola,Iola Public Library,218 East Madison,66749,(620) 365-3262
Iola,Southeast Kansas Library System,218 East Madison Avenue,66749,
Jamestown,Jamestown City Library,311 D Walnut,66948,(785) 439-6258
Jennings,Jennings City Library,p.o.box84,67643,(785) 678-2666
Jetmore,Jetmore Public Library,308 Main Street,67854,(620) 357-8336
Jewell,Jewell Public Library,216 Delaware Street,66949,(785) 425-3630
Johnson,Stanton County Public Library,103 E Sherman,67855,(620) 492-2302
Junction City,Dorothy Bramlage Public Library,230 West Seventh Street,66441,(785) 238-4311
Kanopolis,Kanopolis Public Library,221 N. Kansas,67454,(785) 472-3053
Kansas City,Argentine Branch Library,2800 Metropolitan Ave,,(913) 722-7400
Kansas City,"Kansas City, Kansas Public Library",625 Minnesota Avenue,66101,(913) 551-3280
Kansas City,Mr. And Mrs. F.L. Schlagle Library,4051 West Drive,,(913) 299-2384
Kansas City,West Wyandotte Branch Library,1737 N. 82nd Street,,(913) 596-5800
Kensington,Kensington Community-School Library,203 S Jackson,66951,(785) 476-2219
Kingman,Kingman Carnegie Library,455 North Main,67068,(620) 532-3061
Kinsley,Kinsley,208 E. 8th St.,67547,(620) 659-3341
Kiowa,Kiowa Public Library,123 N 7th,67070,(620) 825-4630
Kirwin,Kirwin City Library,1st And Main,67644,(785) 543-6652
Kismet,Kismet Public Library,503 Main Street,67859,(620) 563-7357
La Crosse,Barnard Library,521 Elm,67548,(785) 222-2826
Lacygne,"Library District 2 , Linn County",206 N. Commercial,66040,(913) 757-2151
Lacygne,"Library District 2 Of Linn County, La Cygne",210 N. Commercial,,(913) 757-2151
Lakin,Kearny County Library,101 E. Prairie,67860,(620) 355-6674
Lansing,Lansing Community Library,108 S. 2nd Street,,(913) 727-2929
Larned,Jordaan Memorial Library,724 Broadway,67550,(620) 285-2876
Lawrence,Lawrence Public Library,707 Vermont Street,66044,(785) 843-3833
Lawrence,Northeast Kansas Library System,4317 W. 6th St.,66049,(785) 838-4090
Leavenworth,Leavenworth Public Library,417 Spruce Street,66048,(913) 682-5666
Leawood,"Johnson County Library, Leawood",4700 Town Center Drive,,(913) 344-0250
Lebanon,Lebanon Community,404 Main,66952,(785) 389-5711
Lebo,Lebo Library,327 Ogden,,(316) 256-6452
Lenexa,"Johnson County Library, Lackman",15345 West 87th Street Parkway,,(913) 752-8750
Lenora,Lenora Public Library,110 N Main,67645,(785) 567-4432
Leon,Leon Public Library,113 S. Main,67074,(316) 742-3438
Leonardville,Leonardville City Library,117 N. Erpelding Rd,66449,(785) 293-5606
Leoti,Wichita County Library,208 South Fourth,67861,(620) 375-4322
Leroy,Leroy Library,725 Main,,(316) 964-2321
Lewis,Meadowlark Library-Lewis,208 Main St.,67552,(620) 324-5743
Liberal,Liberal Memorial Library,519 N. Kansas Avenue,67901,(620) 626-0180
Lincoln,Lincoln Carnegie Library,203 S Third,67455,(785) 524-4034
Lindsborg,Lindsborg Community Library,111 S. Main,67456,(785) 227-2710
Linwood,Linwood Community Library District 1,302 Main Street,66052,(913) 301-3686
Little River,Little River Community Library,125 Main Street,67457,(620) 897-6610
Logan,Logan Public Library,109 W. Main,67646,(785) 689-4333
Long Island,Long Island Community Library,369 Washington,67647,(785) 854-7474
Longton,Longton Public Library,512a Kansas Ave,67352,(620) 642-6012
Louisburg,"Library District 1, Miami County",206 S. Broadway St.,66053,(913) 837-2217
Louisburg,Louisburg Library,206 S. Broadway,66053,(913) 837-2217
Lucas,Lucas Public Library,209 S. Main St.,67648,(785) 525-6305
Luray,Luray City Library,119 N. Main,67649,(785) 698-2208
Lyndon,Lyndon Carnegie Library,127 E 6th St,66451,(785) 828-4520
Lyons,Lyons Public Library,217 East Ave South,67554,(620) 257-2961
Macksville,Macksville City Library,333 N. Main,67557,(620) 348-3555
Madison,Madison Public Library,110 South 1st St.,66860,(620) 437-2634
Manhattan,Manhattan Public Library,629 Poyntz Avenue,66502,(785) 776-4741
Manhattan,North Central Kansas Library System,629 Poyntz Avenue,66502,(785) 776-4741
Mankato,Mankato City Library,214 N High Ste 1,66956,(785) 378-3885
Marion,Marion City Library,101 Library St,66861,(620) 382-2442
Marquette,Marquette Community Library,121 North Washington,67464,(785) 546-2561
Marysville,Marysville Public Library,1009 Broadway,66508,(785) 562-2491
Mccracken,Mccracken Public Library,303 Main,67556,(785) 394-2444
Mccune,Mccune Osage Township Library,509 6th St.,66753,(620) 632-4112
Mclouth,Mclouth Public Library,215 South Union,66054,(913) 796-2225
Mcpherson,Mcpherson Public Library,214 W. Marlin,67460,(620) 245-2570
Meade,Meade Public Library,104 E. West Plains,67864,(620) 873-2522
Medicine Lodge,Lincoln Library,201 N. Main,67104,(620) 886-5746
Meriden,Meriden Community Library,"7272 K-4 Hwy, Ste D",66512,(785) 484-3393
Merriam,"Johnson County Library, Antioch Central",8700 Shawnee Mission Pwky.,,(913) 384-8500
Minneapolis,Minneapolis Public,519 Delia Ave.,67467,(785) 392-3205
Minneola,Minneola City Library,112 Main,67865,(620) 885-4749
Moline,Moline Public Library,107 N. Main,67353,(620) 647-3310
Montezuma,Montezuma Township Library,309 N. Aztec,67867,(620) 846-7032
Moran,Moran Public Library,335 N. Cedar,66755,(620) 237-4334
Mound City,"Mary Sommerville Free Library, Mound City",509 Main Street,66056,(913) 795-2788
Mound City,Mound City-Linn County Dist. 4,509 Main Street,66056,(913) 795-2788
Mound Valley,Mound Valley Library,411 Hickory,67354,(620) 328-3411
Moundridge,Moundridge Public Library,220 S. Christian,67107,(620) 345-6355
Mt. Hope,Mt. Hope Public Library,109 South Ohio,67108,(316) 667-2665
Mulvane,Mulvane Public Library,101 East Main,67110,(316) 777-1211
Neodesha,Neodesha-W.A. Rankin Memorial,502 Indiana,66757,(620) 325-3275
Ness City,Ness City Public Library,113 South Iowa,67560,(785) 798-3415
New Strawn,New Strawn Library,365 North Main,,(316) 364-8910
Newton,Newton Public Library,720 N Oak,67114,(316) 283-2890
Nickerson,Nickerson Public Library,23 N. Nickerson,67561,(620) 422-3361
Norcatur,Norcatur Public Library,301 E. Ossipee,67653,(785) 693-4225
North Kansas City,North Kansas City Public Library-High School Media Center,2251 Howell Street,,(816) 221-3360
Norton,Northwest Kansas Library System,2 Washington Square,67654,(785) 877-5148
Norton,Norton Public Library,1 Washington Square,67654,(785) 877-2481
Nortonville,Nortonville Public Library,407 Main,66060,(913) 886-2060
Norwich,Norwich Public,209 South Parkway,67118,(620) 478-2235
Oakley,Oakley Public Library,700 West 3rd,67748,(785) 671-4776
Oberlin,Oberlin City Library,104 E. Oak,67749,(785) 475-2412
Olathe,Indian Creek Branch Library,1290 South Blackbob Road,,(913) 397-5235
Olathe,Olathe Public Library,201 E Park Street,66061,(913) 971-6850
Olsburg,Olsburg Mini Library,318 North 2nd Street,,(785) 468-3347
Onaga,Onaga Branch,313 Leonard Street,,(785) 889-4531
Osage City,"Lieber Public Library, Osage City",214 S. 6th St.,,(913) 528-3727
Osage City,Osage City Public Library,515 Main St.,66523,(785) 528-3727
Osawatomie,Osawatomie Public Library,527 Brown Avenue,66064,(913) 755-2136
Osborne,Osborne Public Library,325 W Main,67473,(785) 346-5486
Oskaloosa,Oskaloosa Public Library,315 Jefferson St.,66066,(785) 863-2475
Oswego,Oswego Public,704 Fourth Street,67356,(620) 795-4921
Otis,Otis Community Library,122 South Main,67565,(785) 387-2287
Ottawa,Ottawa Library,105 S Hickory St,66067,(785) 242-3080
Overbrook,Overbrook Public Library,317 Maple,66524,(785) 665-7266
Overland Park,Johnson County Library,9875 W. 87th Street,66212,(913) 495-2400
Overland Park,"Johnson County Library, Blue Valley",15185 South Lowell,,(913) 897-8200
Overland Park,"Johnson County Library, Oak Park",9500 Bluejacket,,(913) 752-8700
Overland Park,"Johnson County Library, Shawnee Mission",8826 Santa Fe,,(913) 967-8600
Oxford,Oxford Public Library,115 South Sumner,67119,(620) 455-2221
Palco,Palco Public Library,311 Main,67657,(785) 737-4286
Paola,Paola Free Library,101 East Peoria,66071,(913) 259-3655
Park City,Park City Public Library,1530 E. 61st St. N.,67219,(316) 744-6318
Parker,"Library District 1 Of Linn County, Parker",105 N. Main,,(913) 898-4650
Parker,Linn County Library District 1,230 W. Main,66072,(913) 898-4650
Parsons,Parsons Public Library,311 S 17th Street,67357,(620) 421-5920
Partridge,Partridge Public Library,23 S Main,67566,(620) 567-2467
Peabody,Peabody Township Library,214 N. Walnut,66866,(620) 983-2502
Phillipsburg,Phillipsburg City Library,888 Fourth Street,67661,(785) 543-5325
Pittsburg,Pittsburg Public Library,308 North Walnut,66762,(620) 231-8110
Plains,Plains Community Library,500 Grand Ave.,67869,(620) 563-7326
Plainville,Plainville Memorial,200 Sw 1st,67663,(785) 434-2786
Pleasanton,"Lincoln Library, Pleasanton",9th Palm,,(913) 352-8257
Pleasanton,Linn County Library District 5,904 Main Street,66075,(913) 352-8554
Pomona,Pomona Community Library,219 Jefferson,66076,(785) 418-9932
Potwin,Potwin Public Library,126 N. Randall,67123,(620) 752-3421
Prairie View,Sunshine City Library,207 Kansas,67664,(785) 973-2265
Prairie Village,"Johnson County Library, Corinth",8100 Mission Road,,(913) 967-8650
Pratt,Pratt Public Library,4th Jackson St.,67124,(620) 672-3041
Prescott,Prescott City Library,174 W. 3rd,66767,(913) 471-4593
Pretty Prairie,Pretty Prairie Public Library,119 W. Main St.,67570,(620) 459-6392
Protection,Protection Township Library,404 North Broadway,67127,(620) 622-4886
Quinter,Jay Johnson Public Library,411 Main Street,67752,(785) 754-2171
Randall,Randall Public Library,107 Main St.,66963,(785) 739-2331
Ransom,Ransom Public Library,411 S. Vermont,67572,(785) 731-2855
Republic,Rae Hobson Memorial Library,401 Pawnee Ave.,66964,(785) 361-2481
Richmond,Richmond Public Library,107 E. Central,66080,(785) 835-6163
Riley,Riley City Library,206 S. Broadway St,66531,(785) 485-2978
Roeland Park,"Johnson County Library, Cedar Roe",5120 Cedar,,(913) 384-8547
Rose Hill,Rose Hill Public Library,306 N Rose Hill Rd,67133,(316) 776-3013
Rossville,Rossville Community Library,407 Main,66533,(785) 584-6454
Rossville,Rossville Community Library,407 Main,,(785) 584-6454
Russell,Russell Public Library,126 East 6th Street,67665,(785) 483-2742
Sabetha,Mary Cotton Pubic Library,915 Virginia,66534,(785) 284-3160
Salina,Salina Public Library,301 W. Elm Street,67401,(785) 825-4624
Satanta,Dudley Township Library,105 Sequoyah Street,67870,(620) 649-2213
Savonburg,Savonburg Public Library,101 S. Walnut St,66772,(620) 754-3835
Scandia,Scandia City Library,318 Fourth Street,66966,(785) 335-2271
Scott City,Scott County Library,110 W. 8th St.,67871,(620) 872-5341
Sedan,Sedan Public Library,115 N Chautauqua,67361,(620) 725-3405
Sedgwick,"Lillian Tear Library, Sedgwick",112 W. 5th,,(316) 772-5727
Sedgwick,Sedgwick-Lillian Tear,501 Commercial,67135,(316) 772-5727
Selden,Selden Public Library,109 S. Kansas Avenue,67757,(785) 386-4321
Seneca,Seneca Free Library,606 Main Street,66538,(785) 336-2377
Sharon,Sharon Wisner Library,102 South Broadway,67138,(620) 294-5472
Sharon,Wisner Library,102 S. Boardway,67138,(620) 294-5472
Sharon Springs,Sharon Springs Public Library,113 W.2nd,67758,(785) 852-4685
Shawnee,"Johnson County Library, Shawnee",13811 Johnson Drive,,(913) 962-3800
Silver Lake,Silver Lake Library,203 Railroad,66539,(785) 582-5141
Smith Center,Smith Center Public Library,117 W. Court,66967,(785) 282-3361
Solomon,Solomon Public Library,108 N. Walnut,67480,(785) 655-3521
South Haven,South Haven Township Library,104 W. Baird,67140,(620) 892-5268
South Hutchinson,South Central Kansas Library System,321 North Main Street,67650,(620) 663-3211
Spearville,Spearville Township Library,414 N. Main Street,67876,(620) 385-2501
Spring Hill,"Johnson County Library, Spring Hill",109 South Webster,,(913) 592-3232
St Paul,Graves Memorial Public Library,717 Central,66771,(620) 449-2001
St. Francis,St. Francis Public Library,121 N. Scott,67756,(785) 332-3292
St. John,Ida Long Goodman Memorial Library,406 N. Monroe Ave,67576,(620) 549-3227
St. Marys,Pottawatomie Wabaunsee Regional Library,306 N. 5th Street,66536,(785) 437-2778
St. Marys,St. Marys Library,306 North 5th Street,,(785) 437-2778
Stafford,Nora E. Larabee Memorial Library,108 North Union,67578,(620) 234-5762
Sterling,Sterling Free Public Library,138 N. Broadway,67579,(620) 278-3191
Stockton,Stockton,124 N. Cedar,67669,(785) 425-6372
Sublette,Haskell Township Library,700 West Chouteau,67877,(620) 675-2771
Summerfield,Summerfield Public Library,300 Main St,66541,(785) 244-6531
Sylvan Grove,Sylvan Grove Public Library,122 S Main,67481,(785) 526-7188
Sylvia,Sylvia Public Library,121 S. Main,67581,(620) 486-2472
Syracuse,Hamilton County Public Library,102 W. Ave C,67878,(620) 384-5622
Thayer,Thayer Friday Reading Club City Library,200 West Neosho Avenue,66776,(620) 839-5646
Tonganoxie,Tonganoxie Public Library,303 Bury St.,66086,(913) 845-3281
Topeka,Kansas State Historical Society,6425 Sw Sixth Avenue,,(785) 272-8682
Topeka,Topeka And Shawnee County Public Library,1515 Sw 10th Ave,66604,(785) 580-4400
Toronto,Toronto Public Library,107 W. Main St.,66777,(620) 637-2661
Towanda,Towanda Public Library,620 Highland,67144,(316) 536-2464
Tribune,Greeley County Public Library,517 Broadway,67879,(620) 376-4801
Troy,"Library District 1, Doniphan County",105 N. Main,66087,(785) 985-2597
Turon,Turon Community Library,501 E. Price,67583,(620) 497-6409
Udall,Udall Public Library,109 E. First St,67146,(620) 782-3435
Ulysses,Grant County Library,215 E. Grant Ave.,67880,(620) 356-1433
Utica,Utica Library Association,249 N Ohio,67584,(785) 391-2419
Valley Center,Edna Buschow Memorial Library,321 West 1st St.,67147,(316) 755-7350
Valley Falls,Delaware Township Library,421 Mary St. A,66088,(785) 945-3990
Vermillion,Vermillion Public Library,102 Main,66544,(785) 382-6227
Viola,Viola Township,100 N. Grice,67149,(620) 584-6679
Wakeeney,Wakeeney Public Library,610 Russell Ave.,67672,(785) 743-2960
Wakefield,Wakefield Public Library,205 Third Street,67487,(785) 461-5510
Walnut,Walnut Public Library,511 W. Robbins,66780,(620) 354-6794
Walton,Walton Community Library,122 Main St,67151,(620) 837-3252
Wamego,Wamego Public Library,431 Lincoln Avenue,66547,(785) 456-9181
Washington,Washington Library,116 E. 2nd,66968,(785) 325-2114
Washington Townsh,Bern Community Library,405 Main St,66408,(785) 336-3000
Waterville,Waterville Public Library,129 E Commercial,66548,(785) 353-2769
Wathena,Wathena Branch Library,206 St. Joseph,,(785) 989-4711
Waverly,Waverly Library,608 Pearson,,(913) 733-2400
Weir,Weir Public Library,612 South Jefferson,66781,(620) 396-8899
Wellington,Wellington Public,121 West 7th,67152,(620) 326-2011
Wellsville,Wellsville City Library,115 W. 6th St.,66092,(785) 883-2870
Westmoreland,Westmoreland Mini Library,315 Main Street,,(785) 457-2841
Wetmore,Wetmore Public Library,333 2nd St.,66550,(785) 866-2250
White City,White City Public Library,111 E Mackenzie,66872,(785) 349-5551
Whitewater,Whitewater Memorial Library,118 East Topeka,67154,(316) 799-2471
Wichita,Alford Branch Library,3447 S. Meridian,,(316) 337-9119
Wichita,Comotara Branch Library,2244 N. Rock Road,,(316) 688-9350
Wichita,Evergreen Branch Library,2601 N. Arkansas,,(316) 303-8181
Wichita,Ford Rockwell Branch Library,5939 E 9th,,(316) 688-9361
Wichita,Linwood Park Branch Library,1901 S Kansas,,(316) 337-9125
Wichita,Maya Angelou Branch Library,3051 E. 21st,,(316) 688-9580
Wichita,Orchard Park Branch Library,4808 W 9th,,(316) 337-9084
